Time,Solar Production (W)
08/22/2016 21:15,"0"
08/22/2016 21:30,"0"
08/22/2016 21:45,"0"
08/22/2016 22:00,"0"
08/22/2016 22:15,"0"
08/22/2016 22:30,"0"
08/22/2016 22:45,"0"
08/22/2016 23:00,"0"
08/22/2016 23:15,"0"
08/22/2016 23:30,"0"
08/22/2016 23:45,"0"
08/23/2016 00:00,"0"
08/23/2016 00:15,"0"
08/23/2016 00:30,"0"
08/23/2016 00:45,"0"
08/23/2016 01:00,"0"
08/23/2016 01:15,"0"
08/23/2016 01:30,"0"
08/23/2016 01:45,"0"
08/23/2016 02:00,"0"
08/23/2016 02:15,"0"
08/23/2016 02:30,"0"
08/23/2016 02:45,"0"
08/23/2016 03:00,"0"
08/23/2016 03:15,"0"
08/23/2016 03:30,"0"
08/23/2016 03:45,"0"
08/23/2016 04:00,"0"
08/23/2016 04:15,"0"
08/23/2016 04:30,"0"
08/23/2016 04:45,"0"
08/23/2016 05:00,"0"
08/23/2016 05:15,"0"
08/23/2016 05:30,"0"
08/23/2016 05:45,"0"
08/23/2016 06:00,"0"
08/23/2016 06:15,"0"
08/23/2016 06:30,"0"
08/23/2016 06:45,"21.8333"
08/23/2016 07:00,"96.3333"
08/23/2016 07:15,"194"
08/23/2016 07:30,"350"
08/23/2016 07:45,"475.5"
08/23/2016 08:00,"547.6667"
08/23/2016 08:15,"834.5"
08/23/2016 08:30,"1062.1666"
08/23/2016 08:45,"1302.1666"
08/23/2016 09:00,"1462.6666"
08/23/2016 09:15,"1582.8334"
08/23/2016 09:30,"1841.6666"
08/23/2016 09:45,"1995.5"
08/23/2016 10:00,"2159.8333"
08/23/2016 10:15,"2291.1667"
08/23/2016 10:30,"2399.5"
08/23/2016 10:45,"2530.5"
08/23/2016 11:00,"2622"
08/23/2016 11:15,"2724.6667"
08/23/2016 11:30,"2812.1667"
08/23/2016 11:45,"2887"
08/23/2016 12:00,"3557"
08/23/2016 12:15,"3647.6667"
08/23/2016 12:30,"3636"
08/23/2016 12:45,"3644.1667"
08/23/2016 13:00,"3632.6667"
08/23/2016 13:15,"3603.5"
08/23/2016 13:30,"3556"
08/23/2016 13:45,"3519.3333"
08/23/2016 14:00,"3457"
08/23/2016 14:15,"3363.5"
08/23/2016 14:30,"3262.5"
08/23/2016 14:45,"3180.3333"
08/23/2016 15:00,"3066.5"
